Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
Waste Management DPS,Thirteen Housing Group Ltd,"At Thirteen, we've been working to help improve the lives of people in our neighbourhoods for years. We provide our customers with homes, support and opportunities to grow.
      
      We own and manage 35,000 properties across the North East and Yorkshire and offer a home for life, providing housing and support services. We're here for ...",Opportunity,Open,Not Available,"22 October 2028, 12pm",TS2 1QG,0,Not Available,29 November 2021,Not Available
P0834 -1  Mentoring and Positive Activity Services - DPS,Birmingham City Council,"The Trust wishes to establish a Dynamic Purchasing system (DPS) for the Provision of Mentoring Services in accordance with Regulation 34 of the Public Contracts Regulations 2015 (PCR 2015), the Public Procurement (Amendments, Repeals and Revocations) Regulations 2016 and in accordance with the Light Touch Regime as set out in Schedule 3 of the ...",Opportunity,Open,Not Available,"5 December 2026, 12pm",B4 7DJ,0,Not Available,24 November 2021,Not Available
Magnox - HP3 Qualification - Cat 3: Health Physics Monitoring Resources (with Portable Metrology),CTM Portal for the NDA Shared Services Alliance,"Magnox Ltd is creating the Health Physics 3 (HP3) dynamic purchasing system (DPS) which will be open for use by Magnox, DSRL, LLWR, NNL and Sellafield (the Participating Entities).

This opportunity is a collaborative procurement for the provision of health physics monitoring surveyors resources and other health physics monitoring resources with ...",Opportunity,Open,Not Available,"31 March 2029, 12am",BS35 1RQ,0,107000000,18 November 2021,Not Available
Vehicle Charging Infrastructure Solutions (DPS),Crown Commercial Service,"CCS is setting up a dynamic purchasing system and is inviting bidders to request to participate in the VCIS DPS. This will provide central government and wider public sector departments the opportunity to procure an extensive range of vehicle charging products and services.The three (3) distinct elements of the DPS service filters which are:

(i)...",Opportunity,Open,Not Available,"5 April 2024,  3pm",Any region,450000000,Not Available,10 April 2020,17 November 2021
Space Enabled and Geospacial Services,Crown Commercial Service,Crown Commercial Service (CCS) as the Authority intends to put in place a pan government collaborative agreement for the provision of goods and services relating to space-enabled and geospatial technologies. This is designed as a Dynamic Purchasing System agreement (DPS) which offers a simple route to purchase in-scope products and services for the...,Opportunity,Open,Not Available,"8 September 2024, 11:59am",United Kingdom,216000000,Not Available,10 September 2021,17 November 2021
Grant Administration Services,Crown Commercial Service,"Crown Commercial Service (CCS) is setting up a new dynamic purchasing system (DPS) for a period of 48
months. The DPS is being established for the provision of Grant Administration Services for all UK central
government departments and their arm's length bodies, the wider public sector and third sector
organisations. CCS is inviting bidders ...",Opportunity,Open,Not Available,"18 August 2024,  3pm",United Kingdom,50000000,Not Available,20 August 2020,17 November 2021
Building Cleaning Services,Crown Commercial Service,"Crown Commercial Service (CCS) is setting up a dynamic purchasing system for a period of 48 months
and is inviting bidders to request to participate for the Building Cleaning Services DPS. This DPS will
provide central government and wider public sector departments the opportunity to procure Delivery and
Performance Assessment and Building ...",Opportunity,Open,Not Available,"23 February 2024,  3pm","United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",112000000,Not Available,28 February 2020,17 November 2021
Digital Inclusion and Support Dynamic Purchasing System,Crown Commercial Service,Crown Commercial Service is setting up a dynamic purchasing system for an initial period of 48 months. CCS is inviting bidders to request to participate in the Digital Inclusion and Support DPS. This DPS will provide central government and wider public sector departments the opportunity to find and procure a range of services relating to assisted ...,Opportunity,Open,Not Available,"20 June 2024, 11:59pm","United Kingdom, Isle of Man, Channel Islands",50000000,Not Available,26 May 2020,17 November 2021
Audio Visual Technical Consultancy & Commissioning,Crown Commercial Service,"Crown Commercial Service is setting up a dynamic purchasing system for the supply of audio visual technical consultancy and commissioning services.  

Crown Commercial Service is inviting suppliers to request to participate in the Audio Visual Technical Consultancy & Commissioning DPS. 

This DPS offers a simple route to purchase Audio Visual ...",Opportunity,Open,Not Available,"28 January 2025, 11:59pm",United Kingdom,50000000,Not Available,28 January 2021,17 November 2021
Contract Finder duplicate ad - Application for a Care Home Contract,NHS Kernow Clinical Commissioning Group,"PLEASE NOTE - THIS IS A DULICATE ADVERTISEMENT AND THEREFORE IF YOU HAVE APPLIED USING THE FIND A TENDER SERVICE YOU DO NOT NEED TO REAPPLY.  

THIS IS AN OPEN PIN WITH RESPONSE REQUIRED WITH A CONTRACT START DATE OF 1 APRIL 2021 UNTIL THE CONTRACT END DATE OF 31 MARCH 2024.

NHS Kernow and the Cornwall Council are pleased to invite care home ...",Opportunity,Open,Not Available,"31 March 2024, 12pm",South West,0,355000000,10 November 2021,Not Available
Highways Materials DPS,East Riding of Yorkshire Council,"East Riding of Yorkshire Council is seeking applications from potential suppliers to be admitted to the Council's new dynamic purchasing system (DPS) for the Supply of Highways Materials.

This DPS may be utilised by other local authorities within the Yorkshire and Humber region, as advertised. Any such requirements will be requested as and ...",Opportunity,Open,Not Available,"31 January 2032, 12pm",Yorkshire and the Humber,120000000,121000000,5 November 2021,Not Available
Care Leavers Accommodation,Wirral Borough Council,This service will provide accommodation and support for care leavers aged 16-18 years. The aim of the service would be to develop the independence skills of young people to support them to be able to maintain their own tenancy post 18.,Future opportunity,Open,10 January 2024,Not Available,United Kingdom,1200000,Not Available,4 November 2021,Not Available
External Coaching Framework,Durham University,"Durham University intends to implement a Dynamic Purchasing System (DPS) to deliver External Coaching requirements to both senior academic and senior support staff. The tender will follow the restricted procedure under the Public Procurement Regulations 2015 (PCR 2015).
The DPS will run for a period of four (4) year initially with the option to ...",Opportunity,Open,Not Available,"23 September 2024, 12pm",North East,180000,Not Available,26 August 2020,1 November 2021
UKRI-1307 Outside Manufacturing Dynamic Purchasing System (OM DPS),UK Research and Innovation,"STFC, procure a considerable number of mechanical engineering bespoke and low volume production items during a year. Precision manufacture and sub assembly services are required to assist delivery on demanding engineering projects. To support this activity, UKRI intend to establish a Dynamic Purchasing System (DPS) for the provision of Outside ...",Opportunity,Open,Not Available,"31 January 2023,  7pm",Any region,9000000,Not Available,1 November 2021,Not Available
Gauge job evaluation web software,Chesterfield Borough Council,Provision of NJC accredited cloud based job evaluation software,Future opportunity,Open,1 March 2024,Not Available,United Kingdom,30000,Not Available,21 October 2021,Not Available
Waste Management DPS,Thirteen Housing Group Ltd,"At Thirteen, we've been working to help improve the lives of people in our neighbourhoods for years. We provide our customers with homes, support and opportunities to grow.
      
      We own and manage 35,000 properties across the North East and Yorkshire and offer a home for life, providing housing and support services. We're here for ...",Opportunity,Open,Not Available,"22 October 2028, 12pm",TS2 1QG,0,Not Available,17 September 2021,8 October 2021
London and Quadrant Housing Trust - Marketing Suites and Signage Dynamic Purchasing System,L&Q Construction,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250,000 people in more than 95,000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of services for ...",Opportunity,Open,Not Available,"4 October 2031,  6pm",E15 4PH,0,Not Available,5 October 2021,Not Available
Dynamic Purchasing System for the Provision of Housing Adaptation Works,Doncaster Council,Doncaster Borough Council (The Council) is to establish a Dynamic Purchasing System (DPS) for housing adaptation works that are currently funded through the Disables Facilities Grant (DFG). The funding received from the DFG is to pay for essential adaptation to a person's current home to enable them to continue to live an independent life. The ...,Opportunity,Open,Not Available,"20 November 2026, 12pm",DN1 3BU,0,3500000,5 October 2021,Not Available
"LPS CAS - Provision of Routine Grounds Maintenance Services - Dynamic Purchasing System - RFI 15304744,1",Lancashire County Council,"Lancashire County Council (the Authority) procure Routine Grounds Maintenance Services on behalf of Schools and other establishments across Lancashire and on occasion outside the Lancashire district. 

Details of the type of work required typically include maintenance of grassed and planted areas, maintenance of trees, hedges and bushes, leaf ...",Opportunity,Open,Not Available,"18 September 2025, 10am",North West,2464000,Not Available,21 September 2021,29 September 2021
PAN2598 - Passenger Transport Services DPS,Leicester City Council,"Leicester City Council is seeking to procure passenger transport services.  We are hereby establishing a Dynamic Purchasing System (DPS) from which we will procure the services as described in the Specification.  The DPS will be for five years and six months.
The Council procures journeys for children, young people and adult service users, as well...",Opportunity,Open,Not Available,"31 July 2027,  8pm",England,22416400,Not Available,6 September 2021,28 September 2021
Family Time,Wirral Borough Council,"The Provider will deliver a service for children, young people and their families across and outside the borough of Wirral, working in partnership with Wirral's Children's Services. To promote and facilitate family time where parental/family involvement and ownership is established to improve the offer and deliver a child centred ...",Future opportunity,Open,1 April 2024,Not Available,United Kingdom,1050000,Not Available,27 September 2021,Not Available
"London and Quadrant Housing Trust - Dryling, SFS, Screed and Windows Dynamic Purchase System (DPS)",L&Q Construction,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250,000 people in more than 95,000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of works for; Dry ...",Opportunity,Open,Not Available,"18 December 2024,  6pm",E15 4PH,0,Not Available,22 December 2020,27 September 2021
Flexible Framework of Independent Fostering Providers,Bath and North East Somerset Council,"Bath and North East Somerset Council acting as the Lead Authority on behalf of participating Local Authorities of South Gloucestershire Council, Gloucestershire County Council, North Somerset Council and Bath & North East Somerset Council, is seeking tenders to meet the following categories of need:
1. Standard 
2. Children with disabilities
3. ...",Opportunity,Open,Not Available,"31 March 2026, 11:59pm",England,1000000000,Not Available,24 September 2021,27 September 2021
New Energy Dynamic Framework (NEDF),Public Power Solutions e-Tendering,"Once potential providers have registered and expressed interest, the pre-qualification questionnaire and relevant lot questionnaires MUST be completed if you wish to be considered for any future tender opportunities. 
      
      Public Power Solutions (PPS) is setting up a Dynamic Purchasing System for a period of four years and is inviting ...",Opportunity,Open,Not Available,"10 January 2023, 12pm",SN2 2PN,0,500000000,5 February 2019,23 September 2021
Tender for the provision of a DPS of IT Services,Manchester Metropolitan University,"Information Systems and Digital Services work in partnership with our academic and professional services colleagues to deliver digital and IT services that help the University achieve its strategic objectives in teaching and research.  We help to create the University of the future by co-designing new ways of working, enhancing productivity, ...",Opportunity,Open,Not Available,"16 December 2024, 12pm",M156BH,0,Not Available,23 December 2019,22 September 2021
Tender for the provision of a DPS for Testing Services and Rescources,Manchester Metropolitan University,"Manchester Metropolitan University (""the University"") has an Information Systems Strategic Investment roadmap, which defines a number of large transformation projects and programmes, along with smaller BAU development changes and upgrades. With this increased focus on the strategic delivery of software throughout the University, a need was ...",Opportunity,Open,Not Available,"9 September 2024, 12pm",M156BH,0,Not Available,12 September 2019,22 September 2021
Tender for the provision of a DPS for Innovation Products and Services,Manchester Metropolitan University,"Information Systems and Digital Services work in partnership with our academic and professional services colleagues to deliver digital and IT services that help the University achieve its strategic objectives in teaching and research.  We help to create the University of the future by co-designing new ways of working, enhancing productivity, ...",Opportunity,Open,Not Available,"8 September 2024, 12pm",M156BH,0,Not Available,12 September 2019,22 September 2021
"London and Quadrant Housing Trust - Drylining, SFS, Screed and Windows Dynamic Purchase System (DPS)",L&Q Construction,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250,000 people in more than 95,000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of works for; Dry ...",Opportunity,Open,Not Available,"20 September 2025,  6pm",E15 4PH,0,Not Available,20 September 2021,Not Available
Dynamic Purchasing System for Small Infrastructure Delivery - 2021-2023,Worcestershire County Council,"Worcestershire County Council wish to invite suitable Suppliers to apply to join a Dynamic Purchasing System for Small Infrastructure Delivery projects. The works will be procured as individual projects (mini competitions); the range of projects is likely to include the following types of work:
      
      •             Programmes of dropped ...",Opportunity,Open,Not Available,"31 August 2024, 12am",WR5 2NP,0,Not Available,23 July 2021,20 September 2021
"YPO - 001087 Low Energy Lighting Systems to Include Internal, External and Emergency Lighting",YPO,"YPO are looking for Suppliers to be appointed onto a Dynamic Purchasing System (DPS) for the provision of Low Energy Lighting Systems to include Internal, External and Emergency Lighting. The DPS is designed to meet the needs of all public sector organisations which includes YPO's internal requirements and any of YPO's wholly owned ...",Opportunity,Open,Not Available,"22 November 2025, 11:59pm",United Kingdom,10000000,Not Available,17 September 2021,Not Available
NHS National Pharmaceuticals Transition 2024_2,NHS England,NHS National Pharmaceuticals Transition 2024_2,Future opportunity,Open,1 June 2024,Not Available,WA7 2ES,45000000,Not Available,13 September 2021,Not Available
NHS National Pharmaceuticals Transition 2024_1,NHS England,NHS National Pharmaceuticals Transition 2024_1,Future opportunity,Open,1 August 2023,Not Available,WA7 2ES,45000000,Not Available,13 September 2021,Not Available
NHS National Pharmaceuticals Transition 2023_2,NHS England,NHS National Pharmaceuticals Transition 2023_2,Future opportunity,Open,1 June 2023,Not Available,WA7 2ES,45000000,Not Available,13 September 2021,Not Available
NHS National Pharmaceuticals Wave 14 LSNE,NHS England,NHS National Pharmaceuticals Wave 14 LSNE region,Future opportunity,Open,1 January 2023,Not Available,WA7 2ES,260000000,Not Available,13 September 2021,Not Available
NHS National Pharmaceuticals Wave 14 CESW,NHS England,NHS National Pharmaceuticals Wave 14 CESW region,Future opportunity,Open,1 January 2023,Not Available,WA7 2ES,260000000,Not Available,13 September 2021,13 September 2021
NHS National Pharmaceuticals Orals plus non Parenterals,NHS England,NHS National Pharmaceuticals Orals plus non Parenterals,Future opportunity,Open,1 September 2023,Not Available,WA7 2ES,86000000,Not Available,13 September 2021,Not Available
MoJ Minor Works Dynamic Purchasing System,Ministry of Justice,"The Ministry of Justice (MoJ) (the ""Authority"") seeks to establish a Dynamic Purchasing System for Minor Works (MWDPS) and is inviting applications from suitably qualified and experienced Contractors.  The contract will cover construction, maintenance and resultant remedial small scope high impact works to the MoJ estate. In the main, this includes...",Opportunity,Open,Not Available,"7 September 2029, 11:59pm","North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales",590000000,Not Available,10 September 2021,Not Available
YPO - Utilities Invoice Validation and Energy Management Service - 1033,Barnsley Metropolitan Borough Council,YPO - Utilities Invoice Validation and Energy Management Service - 1033,Future opportunity,Open,29 February 2024,Not Available,England,40736,66268,9 September 2021,Not Available
Apprenticeship Training Providers,Dorset Council,Dorset Council are updating the Dynamic Purchasing System for providers to deliver apprenticeship training services from September 2021. Please note that the contract start and end dates detailed above are not relevant. Contracts will be awarded throughout the term of the DPS.,Opportunity,Open,Not Available,"10 September 2025, 11:59pm",United Kingdom,0,3600000,7 September 2021,Not Available
T1-5622-ISHA-DPS-Services,Islington and Shoreditch Housing Association,"ISHA has established a DPS to deliver maintenance services to its customers' homes and some commercial properties, such as ISHA offices and invites Suppliers to join. The original procurement of the DPS can be found under FTS/OJEU Ref: 2021/s 000 013985. Other purchasing organisations such as other registered providers of social housing, ...",Opportunity,Open,Not Available,"1 September 2031, 12pm",South East,0,Not Available,3 September 2021,Not Available
Careers Information Advice and Guidance for Young People and Adults,Wirral Borough Council,"The Council is seeking a Supplier to deliver an intensive Careers Education, Information, Advice and Guidance (CEIAG) service for eligible young people not in education, employment or training (NEET) as part of the wider Wirral Ways to Work Programme. The addition of European Social Fund and Youth Employment Initiative funding will expand the ...",Future opportunity,Open,3 July 2023,Not Available,United Kingdom,99000,Not Available,3 September 2021,Not Available
BSH/HRA/ DPS for the Supply of Laundry Spares and New Laundry Machines,Bristol City Council,"Bristol City Council wish to establish a Dynamic Purchasing System (DPS) for the supply of spare parts for laundry machines in the communal areas of Council properties.  There will also be a requirement to supply new laundry machines as and when required.
The Council wishes to appoint suppliers experienced in supplying spares for laundry machines ...",Opportunity,Open,Not Available,"31 August 2023, 12pm",England,390000,Not Available,16 July 2021,2 September 2021
Provision of Cleaning Services,London Borough of Redbridge,Provision of Cleaning Services to Redbridge Council,Future opportunity,Open,1 January 2024,Not Available,England,4500000,Not Available,2 September 2021,Not Available
T1-5936-Sage-DPS-Defects,Sage Housing Association,"Sage has established a DPS to deliver defect rectification repairs, where these cannot or have not been completed by the developer.  Sage will be the only purchasing organisation to utilise the DPS.",Opportunity,Open,Not Available,"24 August 2026, 12pm","North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London",0,Not Available,24 August 2021,Not Available
TD1306 - DPS for the provision of special educational needs and disability placements in Independent and Non-Maintained Special Schools and Special Post 16 Institutions,Derby City Council,Applications are invited for inclusion on the DPS that will support the placement of Learners at independent and non-maintained schools or special pre and post 16 organisations.  The successful Applicants will be awarded a position on the DPS and if successful in the Contract Opportunity Award process be responsible for providing the Service ...,Opportunity,Open,Not Available,"30 April 2023, 10am",East Midlands,0,40000000,27 April 2020,23 August 2021
"London and Quadrant Housing Trust - Groundwork, RC Frame, External Works and Piling - Dynamic Purchasing System (DPS)",L&Q Construction,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250,000 people in more than 95,000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of services for ...",Opportunity,Open,Not Available,"18 August 2031,  6pm",E15 4PH,0,Not Available,18 August 2021,Not Available
Local HealthWatch Service,Wirral Borough Council,"ot 1- Local Healthwatch Service
For people who use health and social care services. Offering an independent channel for people to communicate their views on the health and social care system and to influence the design and delivery of services.
Wirral Local Healthwatch is for anyone who uses or who wishes to use adult and children's health and ...",Future opportunity,Open,4 January 2028,Not Available,United Kingdom,1692036,Not Available,11 August 2021,13 August 2021
Wirral Stop Smoking Service,Wirral Borough Council,"The aim of the Stop Smoking Service is to provide an evidence-based specialised support service for people wanting to give up smoking with expertise to deliver person-centred support that is flexible, effective and accessible. The service will also support people that wish to use e-cigarettes to assist their quit.",Future opportunity,Open,1 September 2027,Not Available,United Kingdom,4879000,Not Available,10 August 2021,Not Available
Children and Young People Continuing Healthcare,NHS Arden and Greater East Midlands Commissioning Support Unit,"The service covers care in Norfolk and Waveney and will be provided for children and young people (Service Users) who have been determined as having a Continuing Care need.
The provider will ensure that the services can be provided 365 days per year, 24 hours a day, in accordance with the service Specification and Service User's Care Plan.
The ...",Opportunity,Open,Not Available,"31 October 2026,  5pm",East of England,0,1,6 August 2021,Not Available
NHS Continuing Healthcare Services for Norfolk and Waveney,NHS Arden and Greater East Midlands Commissioning Support Unit,"NHS Norfolk & Waveney Clinical Commissioning Group (referred to as the Commissioner) is inviting suitably qualified and experienced providers to express their interest in delivering the NHS Continuing Healthcare Services in three lots under an Any Qualified Provider (AQP) framework, by responding to this opportunity as required and described in ...",Opportunity,Open,Not Available,"31 October 2024,  5pm",East of England,0,1,6 August 2021,Not Available
Sexual Health Education Relationships and Wellbeing for Young People,Wirral Borough Council,"The service will provide a range of education and support-based interventions to meet the needs of specific at risk groups, focused on sexual health, risks, relationships and wellbeing. Interventions/support will be provided through a variety of mediums and at both the individual and group level",Future opportunity,Open,1 April 2023,Not Available,United Kingdom,271200,Not Available,3 August 2021,Not Available
Public Health England - Weight Management Services,PAGABO,"** Please apply for this Dynamic Purchasing System on the following link: https://phe.app.mypagabo.co.uk/login **
      
      
      Public Health England wish to establish a Dynamic Purchasing System of Providers capable of providing Adult Weight Management Services for all Local Authorities (LAs) within England. The DPS will seek to appoint a ...",Opportunity,Open,Not Available,"28 June 2024, 12pm",SE1 8UG,15000000,30379636.84,6 July 2021,2 August 2021
Ethnic Minority Health Improvement and Inequalities Programme,Wirral Borough Council,"The overall aim of this service is to engage the disengaged in our local Black and Minority Ethnic communities by providing outreach in local communities to tackle social isolation and promote active inclusion to improve mental health and well being, through providing 1:1 support to individuals to encourage greater access to social groups and ...",Future opportunity,Open,1 October 2025,Not Available,United Kingdom,262625,Not Available,30 July 2021,Not Available
Healthy Child Programme (0-19 years) Health Improvement,Wirral Borough Council,"The service will provide a range of education and support-based interventions to meet the needs of children, young people, families and professionals/schools who support them around a number of areas, including breastfeeding, sexual health, substance misuse and healthy eating/weight management. Interventions/support will be provided through a ...",Future opportunity,Open,3 April 2023,Not Available,United Kingdom,851392,Not Available,29 July 2021,Not Available
River Thames Scheme - Construction Partner - Market Engagement,Defra Network eTendering Portal,"This notice is only an invitation to express interest to participate in a market engagement exercise for the River Thames Scheme. The Environment Agency and Surrey County Council, through a collaboration partnership, are issuing this PIN for the purpose of seeking organisations that wish to take part in Market Engagement exercises, Phase 1 to Phase...",Early engagement,Open,Not Available,17 November 2022,London,Not Available,Not Available,28 July 2021,Not Available
GP Services Purchasing System (PDPS) for APMS contracts: GP services and GP Caretaking services,NHS Arden and Greater East Midlands Commissioning Support Unit,"NHS England and NHS Improvement (NHSEI) is seeking to launch a new online purchasing system (technically known as a 'Pseudo' Dynamic Purchasing System or PDPS) where pre-approved GP providers can apply to join a list of pre-approved providers.
Those providers approved to join the system can then be invited by local commissioners to bid ...",Opportunity,Open,Not Available,"20 January 2024, 12pm","United Kingdom, Isle of Man, Channel Islands",0,1,23 January 2020,28 July 2021
Cat 1 - Software and Licencing,CTM Portal for the NDA Shared Services Alliance,"1.	Software & Licensing plus Associated Services RFT 12284
2.	Hardware plus associated services RFT 12286
3.	Project Delivery RFT 12289
Suppliers can apply for pre-qualification against one or more categories to
gain access to award stage work packages. Please note that pre-qualification
remains open and live for the duration of the DPS, therefore...",Opportunity,Open,Not Available,"21 July 2025,  4pm",WA3 6AE,0,23500000,22 July 2021,Not Available
London and Quadrant Housing Trust - Sales Agents Dynamic Purchasing System,L&Q Construction,"London and Quadrant Housing Trust and its subsidiary Quadrant Construction Services are one of the largest providers of affordable housing in the UK, housing over 250,000 people in more than 95,000 homes, primarily across London and the South East of England. London and Quadrant Housing Trust are tendering for the provision of services for Sales ...",Opportunity,Open,Not Available,"22 July 2025,  6pm",E15 4PH,0,Not Available,22 July 2021,22 July 2021
HCI (Dell VxRail) Capacity Extension Provision and Management,London Borough of Redbridge,HCI (Dell VxRail) Capacity Extension Provision and Management,Future opportunity,Open,1 January 2024,Not Available,England,400000,450000,21 July 2021,Not Available
Open Framework for Emergency Accommodation,Fenland District Council,"Fenland District Council are looking for suppliers to join an Open Framework for the provision of Emergency Accommodation.  This is to support homelessness households, migrants and rough sleepers in the district of Fenland.  Therefore ideally suppliers will be based in the Fenland area but we are open to all types of solutions to provide these ...",Opportunity,Open,Not Available,"31 March 2023, 12pm",East of England,1000000,Not Available,20 July 2021,Not Available
"Responsive Repairs, Voids and Associated Works (E,W&NI) Dynamic Purchasing System",Procurement For Housing,"Procurement for Housing wish to establish a DPS for the delivery of responsive repairs, voids and associated works for PfH Members throughout England, Wales and Northern Ireland. It is intended that the DPS will run for an initial period of five years with the option to extend for a further period of up to five years.  
      
      The opportunity...",Opportunity,Open,Not Available,"14 May 2025,  5pm",WA2 0YL,1,980000000,20 May 2020,16 July 2021
Subscription Based Research Services: Executive Programs & Technical Professionals,University Hospitals of Leicester NHS Trust,DN552955 Subscription Based Research Services: Executive Programs & Technical Professionals,Future opportunity,Open,1 February 2023,Not Available,United Kingdom,187400,Not Available,6 July 2021,Not Available
Local Bus and Shared Taxi & Demand Responsive Services DPS,Milton Keynes Council,"Milton Keynes Council wishes to invite applications for admission to Dynamic Purchasing System (DPS) to secure local bus service and demand responsive service.
      The DPS is divided into 2 lots:
      Lot 1: Local Bus Service
      Lot 2 : Shared taxi and Demand Responsive Service
      Application may be submitted for any one or both lots. ...",Opportunity,Open,Not Available,"13 June 2025, 11:59pm",MK9 3EJ,0,15000000,7 April 2021,6 July 2021
A567 Bridgeall Libraries - CollectionHQ,Barnsley Metropolitan Borough Council,"CollectionHQ is a subscription based, hosted software application which links to the Library Management System",Future opportunity,Open,29 December 2023,Not Available,England,33372,Not Available,5 July 2021,Not Available
Energy Efficient Retrofit Installers (CPU4591),Nottingham City Council,"Nottingham City Council, as the accountable body for the Midlands Energy Hub, is inviting applications from suitably experienced and qualified entities to participate in a DPS covering the design, supply, and installation, of a number of categories of energy-efficient equipment and solutions to domestic premises.

Full details, requests for further...",Opportunity,Open,Not Available,"15 April 2025, 12pm",United Kingdom,0,Not Available,18 March 2021,28 June 2021
LPS CAS - Provision of Local Bus Services and School Bus Servics in Lancashire,Lancashire County Council,"Lancashire County Council procure local and school bus services in Lancashire. The Transport services are arranged and funded by Lancashire County Council.

In addition the services include local bus services across the county and into adjoining local authority areas that are complimentary to bus services provided on a commercial basis and the ...",Opportunity,Open,Not Available,"29 December 2029,  1am",North West,140000000,Not Available,21 June 2021,Not Available
Dynamic Purchasing System for Intervention Services in Worcestershire,Worcestershire County Council,"Worcestershire County Council (the Council) is establishing a dynamic purchasing system (the DPS) for Intervention Services in Worcestershire and seeks applications from suitably experienced, qualified and appropriately accredited Suppliers who wish to pre-qualify for this Service.
      
      The DPS will be established and operate in accordance...",Opportunity,Open,Not Available,"17 January 2024, 12am",WR5 2NP,0,Not Available,10 July 2019,15 June 2021
"Sales, Marketing & Communications Goods & Services DPS",Abri,"Abri has established a Dynamic Purchasing System for the provision of Sales, Marketing and Communications goods and services (the ""DPS"") across Abri's operating area.
      
      Requirements will be issued under the following Lot structure: 
      
      Lot 1 - Advertising Portals • Advertising of plots online on specialist property ...",Opportunity,Open,Not Available,"6 February 2024, 11:59pm",so50 6ad,0,16000000,7 February 2020,11 June 2021
T1-5622-ISHA-DPS-Repairs,Islington and Shoreditch Housing Association,"ISHA has established a DPS to deliver repairs and maintenance services to its customers' homes and some commercial properties, such as ISHA offices and invites Suppliers to join. Other purchasing organisations such as other registered providers of social housing, Arm's Length Management Organisations (ALMOs) and/or local authorities may ...",Opportunity,Open,Not Available,"30 May 2031, 12pm",South East,0,Not Available,10 June 2021,Not Available
A007_IEG_Local Welfare Assistance,Barnsley Metropolitan Borough Council,.,Future opportunity,Open,1 April 2023,Not Available,England,28000,Not Available,10 June 2021,Not Available
East Forest District Ground Preparation Works,Forestry England,"We are building a Dynamic Purchasing System (DPS) for Ground Preparation Works in East England Forest District. The DPS will be inclusive of 10 Lots covering a variety of different work types.
      
      Please note - this is a DPS and there will be multiple procurements run throughout it's timeframe.",Opportunity,Open,Not Available,"8 June 2029, 12pm",Any region,1680000,Not Available,8 June 2021,Not Available
Information Technology (IT) Dynamic Purchasing System (DPS),Abri,"This Information Technology (IT) Dynamic Purchasing System (DPS) has been developed by The Swaythling Housing Society, trading as Abri, to help meet the requirements of obtaining IT and related services over the next 4-8 years.  
      
      The services under the DPS cover Abri's IT hardware requirements of varying nature (which may include ...",Opportunity,Open,Not Available,"13 August 2023, 11:59pm",so50 6ad,0,12000000,22 August 2019,8 June 2021
Strategic Capacity -  Suicide Prevention and Mental Health Wellbeing Programme,Wirral Borough Council,This is an exciting opportunity for a experienced part time strategic Public Health leader to work across Cheshire and Merseyside on the Suicide Prevention and Mental Wellbeing innovative programme of work,Future opportunity,Open,28 February 2023,Not Available,North West,93600,Not Available,3 June 2021,Not Available
Dynamic Purchasing System for Retrofit Programme Delivery Services,PROCURE PLUS HOLDINGS LIMITED,"Procure Plus Ltd (PP) is a social housing regeneration consortium. PP specialises in the procurement of goods, works and services for the construction and maintenance of social housing properties.

Procure Plus is working with Local Energy Hub North West in establishing a dynamic purchasing system (DPS) for domestic retrofit programme delivery. ...",Opportunity,Open,Not Available,"31 May 2026,  5pm",North West,1,207500000,2 June 2021,Not Available
Passenger Transport - Dynamic Purchasing System,Dorset Council,"A Dynamic Purchasing System for the Provision of Passenger Transport Services as required by Dorset Council.

This Dynamic Purchasing System will be used to procure passenger transport services as required by Dorset Council. These requirements may include, but are not limited to, transport for Children to School, Children with Special Education ...",Opportunity,Open,Not Available,"30 April 2025, 11:59pm",South West,20000000,Not Available,24 May 2021,Not Available
Delivery Partner Dynamic Purchasing System,Homes England (the name adopted by the Homes and Communities Agency),"Homes England is seeking to establish a Dynamic Purchasing System (DPS) to replace the Delivery Partner Panel (DPP3) for housebuilders, contractors and residential developers to work with Homes England and other contracting authorities who may wish to develop homes on land that they own. The DPS aligns with Homes England's mission and ...",Opportunity,Open,Not Available,"31 August 2031, 11:59pm",England,20000000000,Not Available,24 May 2021,Not Available
